Order_ID,Customer_Name,Delivery_Time,Route,Distance_km,Order_Date,Delivery_Date,Delivery_Status,Delay_Reason,Price
1001,Nitya Gera,7,Delhi-Kolkata,1086,11/4/2023 0:00,11/11/2023 0:00,On Time,,1554
1002,Akarsh Kibe,7,Bangalore-Chennai,833,7/26/2023 0:00,8/2/2023 0:00,On Time,,2349
1003,Ayesha Desai,9,Chennai-Hyderabad,1238,8/22/2023 0:00,8/31/2023 0:00,On Time,,1039
1004,Krish Andra,5,Hyderabad-Chennai,1793,1/24/2023 0:00,1/29/2023 0:00,Early,,1148
1005,Tanya Talwar,4,Hyderabad-Chennai,358,1/26/2023 0:00,1/30/2023 0:00,Delayed,Weather,2464
1006,Myra Dyal,7,Kolkata-Chennai,1886,8/6/2023 0:00,8/13/2023 0:00,Early,,1101
1007,Anahita Dalal,5,Delhi-Kolkata,1245,12/12/2023 0:00,12/17/2023 0:00,On Time,,548
1008,Piya Balay,3,Delhi-Kolkata,398,1/10/2023 0:00,1/13/2023 0:00,Delayed,Weather,2402
1009,Samar Kapadia,7,NaN,1898,1/17/2023 0:00,1/24/2023 0:00,Delayed,Traffic,1781
1010,Jayant Iyengar,11,Pune-Mumbai,1504,9/2/2023 0:00,9/13/2023 0:00,Delayed,Route Issue,2041
1011,Dhruv Tara,6,Delhi-Kolkata,660,7/25/2023 0:00,7/31/2023 0:00,On Time,,1040
1012,Misha Dugal,12,Mumbai-Pune,1964,9/15/2023 0:00,9/27/2023 0:00,On Time,,1933
1013,Mehul Brar,10,Pune-Mumbai,1624,4/22/2023 0:00,5/2/2023 0:00,On Time,,655
1014,Chirag Baria,12,Mumbai-Pune,396,7/24/2023 0:00,8/5/2023 0:00,On Time,,1274
1015,Riaan Kunda,7,Hyderabad-Chennai,461,1/27/2023 0:00,2/3/2023 0:00,Delayed,Route Issue,1045
1016,Nayantara Chanda,4,Pune-Mumbai,688,3/12/2023 0:00,3/16/2023 0:00,On Time,,1963
1017,Siya Kumer,12,Delhi-Kolkata,1586,6/25/2023 0:00,7/7/2023 0:00,On Time,,1760
1018,Jivika Rattan,6,Bangalore-Chennai,1561,7/21/2023 0:00,7/27/2023 0:00,On Time,,1149
1019,Nehmat Garde,11,Kolkata-Chennai,226,9/5/2023 0:00,9/16/2023 0:00,On Time,,1891
1020,Saanvi Ghosh,9,Mumbai-Pune,296,4/28/2023 0:00,5/7/2023 0:00,On Time,,1500
1021,Yasmin Sha,10,Pune-Mumbai,320,1/9/2023 0:00,1/19/2023 0:00,On Time,,1580
1022,Vedika Dutt,9,Delhi-Kolkata,1094,3/27/2023 0:00,4/5/2023 0:00,Delayed,Weather,674
1023,Hazel Karnik,4,Pune-Mumbai,190,1/23/2023 0:00,1/27/2023 0:00,On Time,,1737
1024,Indranil Bhattacharyya,10,Delhi-Kolkata,510,8/28/2023 0:00,9/7/2023 0:00,Delayed,Weather,526
1025,Piya Karnik,4,Delhi-Kolkata,107,3/14/2023 0:00,3/18/2023 0:00,On Time,,2330
1026,Kimaya Khosla,9,Delhi-Kolkata,643,1/27/2023 0:00,2/5/2023 0:00,Delayed,Traffic,2441
1027,Nehmat Ahuja,11,Mumbai-Bangalore,567,12/15/2023 0:00,12/26/2023 0:00,On Time,,1642
1028,Sara Agarwal,10,Kolkata-Chennai,419,3/22/2023 0:00,4/1/2023 0:00,On Time,,646
1029,Bhavin Din,8,Bangalore-Chennai,1517,3/25/2023 0:00,4/2/2023 0:00,On Time,,1367
1030,Samiha Krish,5,Bangalore-Chennai,368,7/18/2023 0:00,7/23/2023 0:00,On Time,,764
1031,Dhanush Bala,11,Pune-Mumbai,1314,2/12/2023 0:00,2/23/2023 0:00,On Time,,1926
1032,Trisha Hari,10,Pune-Mumbai,1984,9/20/2023 0:00,9/30/2023 0:00,Delayed,Traffic,757
1033,Madhav Uppal,4,Delhi-Kolkata,1798,4/2/2023 0:00,4/6/2023 0:00,On Time,,2383
1034,Diya Tandon,4,Mumbai-Bangalore,160,12/5/2023 0:00,12/9/2023 0:00,On Time,,1712
1035,Jhanvi Wagle,3,Delhi-Kolkata,1561,3/25/2023 0:00,3/28/2023 0:00,Delayed,Weather,1326
1036,Adah Agrawal,11,Mumbai-Bangalore,1387,10/27/2023 0:00,11/7/2023 0:00,On Time,,1242
1037,Kabir Khosla,4,Delhi-Kolkata,896,10/23/2023 0:00,10/27/2023 0:00,On Time,,2022
1038,Misha Kamdar,2,Mumbai-Pune,1218,5/15/2023 0:00,5/17/2023 0:00,Delayed,Route Issue,1209
1039,Raunak Barad,5,Mumbai-Pune,652,10/8/2023 0:00,10/13/2023 0:00,On Time,,1762
1040,Vedika Mander,9,Hyderabad-Chennai,1025,2/28/2023 0:00,3/9/2023 0:00,Delayed,Route Issue,1850
1041,Nishith Borra,6,Delhi-Kolkata,1593,12/25/2023 0:00,12/31/2023 0:00,Delayed,Weather,1593
1042,Bhamini Sahni,3,Kolkata-Chennai,760,12/8/2023 0:00,12/11/2023 0:00,Delayed,Weather,2452
1043,Mamooty Dey,4,Hyderabad-Chennai,815,8/29/2023 0:00,9/2/2023 0:00,Delayed,Route Issue,2287
1044,Rasha Saini,2,Pune-Mumbai,878,12/8/2023 0:00,12/10/2023 0:00,On Time,,2497
1045,Krish Boase,3,Chennai-Hyderabad,1637,4/8/2023 0:00,4/11/2023 0:00,On Time,,2228
1046,Saksham Sarna,2,Delhi-Kolkata,1813,3/3/2023 0:00,3/5/2023 0:00,Early,,1548
1047,Saira Venkataraman,3,Mumbai-Pune,293,9/21/2023 0:00,9/24/2023 0:00,On Time,,2105
1048,Ivana Baria,4,Chennai-Hyderabad,581,4/23/2023 0:00,4/27/2023 0:00,On Time,,1679
1049,Riaan Bhandari,2,Mumbai-Bangalore,1459,5/26/2023 0:00,5/28/2023 0:00,Delayed,Weather,2181
1050,Raunak Trivedi,12,Chennai-Hyderabad,1558,8/4/2023 0:00,8/16/2023 0:00,On Time,,2354
1051,Azad Chander,10,Kolkata-Chennai,1319,9/13/2023 0:00,9/23/2023 0:00,On Time,,718
1052,Veer Khatri,11,Delhi-Kolkata,954,11/12/2023 0:00,11/23/2023 0:00,On Time,,1060
1053,Saksham Kadakia,6,Bangalore-Chennai,1372,11/12/2023 0:00,11/18/2023 0:00,On Time,,1902
1054,Rasha Maharaj,9,Chennai-Hyderabad,597,12/28/2023 0:00,1/6/2024 0:00,On Time,,1391
1055,Shalv Desai,6,Bangalore-Chennai,311,9/15/2023 0:00,9/21/2023 0:00,Early,,1717
1056,Tara Rama,9,Mumbai-Bangalore,764,7/13/2023 0:00,7/22/2023 0:00,Delayed,Weather,1563
1057,Shaan Kade,8,Hyderabad-Chennai,769,12/13/2023 0:00,12/21/2023 0:00,Delayed,Traffic,1096
1058,Ritvik Srinivasan,13,Bangalore-Chennai,1589,1/14/2023 0:00,1/27/2023 0:00,On Time,,842
1059,Kashvi Srinivasan,5,Hyderabad-Chennai,1997,10/31/2023 0:00,11/5/2023 0:00,On Time,,1002
1060,Tiya Sura,8,Mumbai-Pune,1774,4/13/2023 0:00,4/21/2023 0:00,On Time,,949
1061,Jayan Venkatesh,7,Delhi-Kolkata,320,9/2/2023 0:00,9/9/2023 0:00,On Time,,835
1062,Anaya Tara,4,Chennai-Hyderabad,372,9/2/2023 0:00,9/6/2023 0:00,On Time,,503
1063,Bhavin Vala,10,Mumbai-Pune,1277,11/8/2023 0:00,11/18/2023 0:00,On Time,,2325
1064,Advika Singh,13,Mumbai-Pune,1372,9/25/2023 0:00,10/8/2023 0:00,On Time,,1258
1065,Misha Zachariah,11,Delhi-Hyderabad,378,8/12/2023 0:00,8/23/2023 0:00,On Time,,1016
1066,Kabir Das,14,Delhi-Mumbai,1563,8/8/2023 0:00,8/22/2023 0:00,Early,,2020
1067,Vritika Raval,10,Kolkata-Chennai,915,11/7/2023 0:00,11/17/2023 0:00,On Time,,1749
1068,Madhup Chad,6,Hyderabad-Chennai,375,8/5/2023 0:00,8/11/2023 0:00,Delayed,Weather,1673
1069,Tara Seshadri,9,Delhi-Hyderabad,1104,1/4/2023 0:00,1/13/2023 0:00,On Time,,737
1070,Lavanya Sarin,8,Delhi-Mumbai,613,2/5/2023 0:00,2/13/2023 0:00,On Time,,2183
1071,Akarsh Sachdev,10,Kolkata-Chennai,1211,6/27/2023 0:00,7/7/2023 0:00,On Time,,602
1072,Badal Dass,8,Hyderabad-Chennai,1922,9/14/2023 0:00,9/22/2023 0:00,On Time,,1698
1073,Anika Tella,5,Delhi-Kolkata,1022,1/17/2023 0:00,1/22/2023 0:00,On Time,,1509
1074,Saira Upadhyay,5,Kolkata-Chennai,741,7/18/2023 0:00,7/23/2023 0:00,On Time,,1984
1075,Tejas Dua,12,Chennai-Hyderabad,604,11/14/2023 0:00,11/26/2023 0:00,Delayed,Route Issue,2271
1076,Amira Vala,9,Mumbai-Pune,689,2/17/2023 0:00,2/26/2023 0:00,On Time,,1557
1077,Ryan Majumdar,7,Delhi-Mumbai,871,3/3/2023 0:00,3/10/2023 0:00,On Time,,2207
1078,Faiyaz Din,10,Delhi-Mumbai,1364,3/10/2023 0:00,3/20/2023 0:00,On Time,,1017
1079,Bhamini Srinivasan,11,Delhi-Mumbai,1776,5/27/2023 0:00,6/7/2023 0:00,On Time,,939
1080,Heer Bhavsar,8,Hyderabad-Chennai,839,12/25/2023 0:00,1/2/2024 0:00,Delayed,Weather,1808
1081,Saanvi Sahni,8,Chennai-Hyderabad,774,6/11/2023 0:00,6/19/2023 0:00,On Time,,724
1082,Romil Varghese,5,Kolkata-Chennai,1359,8/15/2023 0:00,8/20/2023 0:00,On Time,,1064
1083,Romil Raja,4,Mumbai-Pune,1113,12/13/2023 0:00,12/17/2023 0:00,On Time,,1780
1084,Tiya D???Alia,9,Chennai-Hyderabad,227,8/18/2023 0:00,8/27/2023 0:00,Delayed,Weather,1582
1085,Nakul Bakshi,8,Delhi-Hyderabad,602,6/27/2023 0:00,7/5/2023 0:00,On Time,,2467
1086,Dhanush Bansal,5,Delhi-Kolkata,1323,12/11/2023 0:00,12/16/2023 0:00,Delayed,Weather,745
1087,Anahita Chandran,14,Bangalore-Chennai,1001,2/25/2023 0:00,3/11/2023 0:00,On Time,,2042
1088,Dishani Sheth,5,Chennai-Hyderabad,642,3/19/2023 0:00,3/24/2023 0:00,Delayed,Weather,1737
1089,Diya Dani,2,Delhi-Hyderabad,1625,9/27/2023 0:00,9/29/2023 0:00,Early,,1427
1090,Aarna Chacko,12,Mumbai-Pune,1773,7/25/2023 0:00,8/6/2023 0:00,Delayed,Traffic,2113
1091,Jayan Sridhar,8,Bangalore-Chennai,591,10/8/2023 0:00,10/16/2023 0:00,On Time,,2224
1092,Eva Kulkarni,2,Bangalore-Chennai,1144,8/16/2023 0:00,8/18/2023 0:00,On Time,,1452
1093,Zaina Sarin,11,Chennai-Hyderabad,1357,8/27/2023 0:00,9/7/2023 0:00,On Time,,1318
1094,Amira Kuruvilla,11,Delhi-Mumbai,813,10/15/2023 0:00,10/26/2023 0:00,On Time,,715
1095,Akarsh Aurora,5,Pune-Mumbai,890,3/23/2023 0:00,3/28/2023 0:00,On Time,,1926
